ReleaseDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20140401,06025,Imperial County,CA,0.00,100.00,93.21,71.53,0.00,0.00,2014-04-01,2014-04-07,1
20140325,06025,Imperial County,CA,0.00,100.00,93.10,71.53,0.00,0.00,2014-03-25,2014-03-31,1
20140318,06025,Imperial County,CA,0.18,99.82,92.86,35.10,0.00,0.00,2014-03-18,2014-03-24,1
20140311,06025,Imperial County,CA,0.20,99.80,39.32,0.01,0.00,0.00,2014-03-11,2014-03-17,1
20140304,06025,Imperial County,CA,0.16,99.84,39.32,0.01,0.00,0.00,2014-03-04,2014-03-10,1
20140225,06025,Imperial County,CA,0.16,99.84,39.32,0.01,0.00,0.00,2014-02-25,2014-03-03,1
20140218,06025,Imperial County,CA,0.16,99.84,39.32,0.01,0.00,0.00,2014-02-18,2014-02-24,1
20140211,06025,Imperial County,CA,1.58,98.42,39.32,0.01,0.00,0.00,2014-02-11,2014-02-17,1
20140204,06025,Imperial County,CA,1.58,98.42,27.95,0.00,0.00,0.00,2014-02-04,2014-02-10,1
20140128,06025,Imperial County,CA,1.58,98.42,27.95,0.00,0.00,0.00,2014-01-28,2014-02-03,1
20140121,06025,Imperial County,CA,1.58,98.42,27.95,0.00,0.00,0.00,2014-01-21,2014-01-27,1
20140114,06025,Imperial County,CA,1.58,98.42,27.95,0.00,0.00,0.00,2014-01-14,2014-01-20,1
20140107,06025,Imperial County,CA,1.58,98.42,29.05,0.00,0.00,0.00,2014-01-07,2014-01-13,1
20131231,06025,Imperial County,CA,1.58,98.42,29.05,0.00,0.00,0.00,2013-12-31,2014-01-06,1
20131224,06025,Imperial County,CA,1.58,98.42,29.05,0.00,0.00,0.00,2013-12-24,2013-12-30,1
20131217,06025,Imperial County,CA,1.58,98.42,29.05,0.00,0.00,0.00,2013-12-17,2013-12-23,1
20131210,06025,Imperial County,CA,1.58,98.42,29.05,0.00,0.00,0.00,2013-12-10,2013-12-16,1
20131203,06025,Imperial County,CA,1.58,98.42,29.05,0.00,0.00,0.00,2013-12-03,2013-12-09,1
20131126,06025,Imperial County,CA,1.58,98.42,29.05,0.00,0.00,0.00,2013-11-26,2013-12-02,1
20131119,06025,Imperial County,CA,1.58,98.42,90.19,0.00,0.00,0.00,2013-11-19,2013-11-25,1
20131112,06025,Imperial County,CA,1.58,98.42,90.19,0.00,0.00,0.00,2013-11-12,2013-11-18,1
20131105,06025,Imperial County,CA,1.63,98.37,90.06,0.00,0.00,0.00,2013-11-05,2013-11-11,1
20131029,06025,Imperial County,CA,1.85,98.15,90.06,0.00,0.00,0.00,2013-10-29,2013-11-04,1
20131022,06025,Imperial County,CA,1.85,98.15,90.06,0.00,0.00,0.00,2013-10-22,2013-10-28,1
20131015,06025,Imperial County,CA,1.92,98.08,89.68,0.00,0.00,0.00,2013-10-15,2013-10-21,1
20131008,06025,Imperial County,CA,1.21,98.79,89.63,0.00,0.00,0.00,2013-10-08,2013-10-14,1
20131001,06025,Imperial County,CA,1.66,98.34,89.63,0.00,0.00,0.00,2013-10-01,2013-10-07,1
